Date,Open,High,Low,Close,Volume,Adj Close
20/06/1996,18.31,18.31,18.31,18.31,0,12.74
21/06/1996,18.29,18.29,18.29,18.29,0,12.73
24/06/1996,18.32,18.32,18.32,18.32,0,12.75
25/06/1996,18.32,18.32,18.32,18.32,0,12.75
26/06/1996,18.26,18.26,18.26,18.26,0,12.71
27/06/1996,18.36,18.36,18.36,18.36,0,12.78
28/06/1996,18.45,18.45,18.45,18.45,0,12.84
01/07/1996,18.49,18.49,18.49,18.49,0,12.87
02/07/1996,18.47,18.47,18.47,18.47,0,12.85
03/07/1996,18.47,18.47,18.47,18.47,0,12.85
05/07/1996,18.23,18.23,18.23,18.23,0,12.69
08/07/1996,18.19,18.19,18.19,18.19,0,12.66
09/07/1996,18.28,18.28,18.28,18.28,0,12.72
10/07/1996,18.25,18.25,18.25,18.25,0,12.7
11/07/1996,18.19,18.19,18.19,18.19,0,12.66
12/07/1996,18.19,18.19,18.19,18.19,0,12.66
15/07/1996,18.04,18.04,18.04,18.04,0,12.55
16/07/1996,18.03,18.03,18.03,18.03,0,12.55
17/07/1996,18.14,18.14,18.14,18.14,0,12.62
18/07/1996,18.28,18.28,18.28,18.28,0,12.72
19/07/1996,18.26,18.26,18.26,18.26,0,12.71
22/07/1996,18.23,18.23,18.23,18.23,0,12.69
23/07/1996,18.17,18.17,18.17,18.17,0,12.64
24/07/1996,18.09,18.09,18.09,18.09,0,12.59
25/07/1996,18.15,18.15,18.15,18.15,0,12.63
26/07/1996,18.23,18.23,18.23,18.23,0,12.69
29/07/1996,18.17,18.17,18.17,18.17,0,12.64
30/07/1996,18.21,18.21,18.21,18.21,0,12.67
31/07/1996,18.21,18.21,18.21,18.21,0,12.67
01/08/1996,18.43,18.43,18.43,18.43,0,12.83
02/08/1996,18.57,18.57,18.57,18.57,0,12.92
05/08/1996,18.58,18.58,18.58,18.58,0,12.93
06/08/1996,18.54,18.54,18.54,18.54,0,12.9
07/08/1996,18.56,18.56,18.56,18.56,0,12.92
08/08/1996,18.56,18.56,18.56,18.56,0,12.92
09/08/1996,18.58,18.58,18.58,18.58,0,12.93
12/08/1996,18.59,18.59,18.59,18.59,0,12.94
13/08/1996,18.5,18.5,18.5,18.5,0,12.87
14/08/1996,18.48,18.48,18.48,18.48,0,12.86
15/08/1996,18.47,18.47,18.47,18.47,0,12.85
16/08/1996,18.52,18.52,18.52,18.52,0,12.89
19/08/1996,18.53,18.53,18.53,18.53,0,12.89
20/08/1996,18.57,18.57,18.57,18.57,0,12.92
21/08/1996,18.54,18.54,18.54,18.54,0,12.9
22/08/1996,18.57,18.57,18.57,18.57,0,12.92
23/08/1996,18.53,18.53,18.53,18.53,0,12.89
26/08/1996,18.51,18.51,18.51,18.51,0,12.88
27/08/1996,18.54,18.54,18.54,18.54,0,12.9
28/08/1996,18.51,18.51,18.51,18.51,0,12.88
29/08/1996,18.45,18.45,18.45,18.45,0,12.84
30/08/1996,18.36,18.36,18.36,18.36,0,12.78
03/09/1996,18.36,18.36,18.36,18.36,0,12.78
04/09/1996,18.36,18.36,18.36,18.36,0,12.78
05/09/1996,18.29,18.29,18.29,18.29,0,12.73
06/09/1996,18.32,18.32,18.32,18.32,0,12.75
09/09/1996,18.37,18.37,18.37,18.37,0,12.78
10/09/1996,18.32,18.32,18.32,18.32,0,12.75
11/09/1996,18.34,18.34,18.34,18.34,0,12.76
12/09/1996,18.34,18.34,18.34,18.34,0,12.76
13/09/1996,18.44,18.44,18.44,18.44,0,12.83
16/09/1996,18.47,18.47,18.47,18.47,0,12.85
17/09/1996,18.44,18.44,18.44,18.44,0,12.83
18/09/1996,18.43,18.43,18.43,18.43,0,12.83
19/09/1996,18.39,18.39,18.39,18.39,0,12.8
20/09/1996,18.41,18.41,18.41,18.41,0,12.81
23/09/1996,18.41,18.41,18.41,18.41,0,12.81
24/09/1996,18.45,18.45,18.45,18.45,0,12.84
25/09/1996,18.48,18.48,18.48,18.48,0,12.86
26/09/1996,18.46,18.46,18.46,18.46,0,12.85
27/09/1996,18.42,18.42,18.42,18.42,0,12.82
30/09/1996,18.4,18.4,18.4,18.4,0,12.8
01/10/1996,18.43,18.43,18.43,18.43,0,12.83
02/10/1996,18.49,18.49,18.49,18.49,0,12.87
03/10/1996,18.47,18.47,18.47,18.47,0,12.85
04/10/1996,18.56,18.56,18.56,18.56,0,12.92
07/10/1996,18.56,18.56,18.56,18.56,0,12.92
08/10/1996,18.54,18.54,18.54,18.54,0,12.9
09/10/1996,18.52,18.52,18.52,18.52,0,12.89
10/10/1996,18.51,18.51,18.51,18.51,0,12.88
11/10/1996,18.58,18.58,18.58,18.58,0,12.93
14/10/1996,18.61,18.61,18.61,18.61,0,12.95
15/10/1996,18.58,18.58,18.58,18.58,0,12.93
16/10/1996,18.6,18.6,18.6,18.6,0,12.94
17/10/1996,18.58,18.58,18.58,18.58,0,12.93
18/10/1996,18.62,18.62,18.62,18.62,0,12.96
21/10/1996,18.63,18.63,18.63,18.63,0,12.96
22/10/1996,18.62,18.62,18.62,18.62,0,12.96
23/10/1996,18.65,18.65,18.65,18.65,0,12.98
24/10/1996,18.63,18.63,18.63,18.63,0,12.96
25/10/1996,18.64,18.64,18.64,18.64,0,12.97
28/10/1996,18.6,18.6,18.6,18.6,0,12.94
29/10/1996,18.64,18.64,18.64,18.64,0,12.97
30/10/1996,18.66,18.66,18.66,18.66,0,12.99
31/10/1996,18.7,18.7,18.7,18.7,0,13.01
01/11/1996,18.66,18.66,18.66,18.66,0,12.99
04/11/1996,18.67,18.67,18.67,18.67,0,12.99
05/11/1996,18.74,18.74,18.74,18.74,0,13.04
06/11/1996,18.77,18.77,18.77,18.77,0,13.06
07/11/1996,18.89,18.89,18.89,18.89,0,13.15
08/11/1996,18.93,18.93,18.93,18.93,0,13.17
11/11/1996,19.01,19.01,19.01,19.01,0,13.23
12/11/1996,19.05,19.05,19.05,19.05,0,13.26
13/11/1996,19.07,19.07,19.07,19.07,0,13.27
14/11/1996,19.1,19.1,19.1,19.1,0,13.29
15/11/1996,19.06,19.06,19.06,19.06,0,13.26
18/11/1996,19.1,19.1,19.1,19.1,0,13.29
19/11/1996,19.14,19.14,19.14,19.14,0,13.32
20/11/1996,19.21,19.21,19.21,19.21,0,13.37
21/11/1996,19.14,19.14,19.14,19.14,0,13.32
22/11/1996,19.21,19.21,19.21,19.21,0,13.37
25/11/1996,19.19,19.19,19.19,19.19,0,13.35
26/11/1996,19.17,19.17,19.17,19.17,0,13.34
27/11/1996,19.15,19.15,19.15,19.15,0,13.33
29/11/1996,19.19,19.19,19.19,19.19,0,13.35
02/12/1996,19.15,19.15,19.15,19.15,0,13.33
03/12/1996,19.15,19.15,19.15,19.15,0,13.33
04/12/1996,19.12,19.12,19.12,19.12,0,13.31
05/12/1996,19.12,19.12,19.12,19.12,0,13.31
06/12/1996,19.01,19.01,19.01,19.01,0,13.23
09/12/1996,19.1,19.1,19.1,19.1,0,13.29
10/12/1996,19.12,19.12,19.12,19.12,0,13.31
11/12/1996,18.49,18.49,18.49,18.49,0,13.22
12/12/1996,18.44,18.44,18.44,18.44,0,13.18
13/12/1996,18.48,18.48,18.48,18.48,0,13.21
16/12/1996,18.34,18.34,18.34,18.34,0,13.11
17/12/1996,18.36,18.36,18.36,18.36,0,13.13
18/12/1996,18.4,18.4,18.4,18.4,0,13.16
19/12/1996,18.54,18.54,18.54,18.54,0,13.26
20/12/1996,18.56,18.56,18.56,18.56,0,13.27
23/12/1996,18.48,18.48,18.48,18.48,0,13.21
24/12/1996,18.52,18.52,18.52,18.52,0,13.24
26/12/1996,18.58,18.58,18.58,18.58,0,13.28
27/12/1996,18.61,18.61,18.61,18.61,0,13.31
30/12/1996,18.62,18.62,18.62,18.62,0,13.31
31/12/1996,18.53,18.53,18.53,18.53,0,13.25
02/01/1997,18.34,18.34,18.34,18.34,0,13.11
03/01/1997,18.35,18.35,18.35,18.35,0,13.12
06/01/1997,18.32,18.32,18.32,18.32,0,13.1
07/01/1997,18.38,18.38,18.38,18.38,0,13.14
08/01/1997,18.36,18.36,18.36,18.36,0,13.13
09/01/1997,18.47,18.47,18.47,18.47,0,13.21
10/01/1997,18.46,18.46,18.46,18.46,0,13.2
13/01/1997,18.46,18.46,18.46,18.46,0,13.2
14/01/1997,18.52,18.52,18.52,18.52,0,13.24
15/01/1997,18.48,18.48,18.48,18.48,0,13.21
16/01/1997,18.5,18.5,18.5,18.5,0,13.23
17/01/1997,18.52,18.52,18.52,18.52,0,13.24
20/01/1997,18.5,18.5,18.5,18.5,0,13.23
21/01/1997,18.51,18.51,18.51,18.51,0,13.23
22/01/1997,18.45,18.45,18.45,18.45,0,13.19
23/01/1997,18.45,18.45,18.45,18.45,0,13.19
24/01/1997,18.4,18.4,18.4,18.4,0,13.16
27/01/1997,18.4,18.4,18.4,18.4,0,13.16
28/01/1997,18.36,18.36,18.36,18.36,0,13.13
29/01/1997,18.33,18.33,18.33,18.33,0,13.11
30/01/1997,18.36,18.36,18.36,18.36,0,13.13
31/01/1997,18.4,18.4,18.4,18.4,0,13.16
03/02/1997,18.47,18.47,18.47,18.47,0,13.21
04/02/1997,18.44,18.44,18.44,18.44,0,13.18
05/02/1997,18.36,18.36,18.36,18.36,0,13.13
06/02/1997,18.31,18.31,18.31,18.31,0,13.09
07/02/1997,18.4,18.4,18.4,18.4,0,13.16
10/02/1997,18.35,18.35,18.35,18.35,0,13.12
11/02/1997,18.32,18.32,18.32,18.32,0,13.1
12/02/1997,18.43,18.43,18.43,18.43,0,13.18
13/02/1997,18.5,18.5,18.5,18.5,0,13.23
14/02/1997,18.55,18.55,18.55,18.55,0,13.26
18/02/1997,18.54,18.54,18.54,18.54,0,13.26
19/02/1997,18.49,18.49,18.49,18.49,0,13.22
20/02/1997,18.43,18.43,18.43,18.43,0,13.18
21/02/1997,18.47,18.47,18.47,18.47,0,13.21
24/02/1997,18.51,18.51,18.51,18.51,0,13.23
25/02/1997,18.52,18.52,18.52,18.52,0,13.24
26/02/1997,18.39,18.39,18.39,18.39,0,13.15
27/02/1997,18.37,18.37,18.37,18.37,0,13.13
