Ticker,SID,Name,Sector,Sub-Industry
MMM,4922,3M Co.,Industrials,Industrial Conglomerates
ABT,62,Abbott Laboratories,Health Care,Health Care Equipment & Services
ABBV,43694,AbbVie,Health Care,Pharmaceuticals
ANF,15622,Abercrombie & Fitch Company A,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
ACE,8580,ACE Limited,Financials,Property & Casualty Insurance
ACN,25555,Accenture,Information Technology,IT Consulting & Services
ACT,8572,Actavis Inc,Health Care,Pharmaceuticals
ADBE,114,Adobe Systems Inc,Information Technology,Application Software
ADT,43399,ADT Corp,Industrials,Diversified Commercial Services
AMD,351,Advanced Micro Devices,Information Technology,Semiconductors
AES,166,AES Corp,Utilities,Electric Utilities
AET,168,Aetna Inc,Health Care,Managed Health Care
AFL,185,AFLAC Inc,Financials,Life & Health Insurance
A,32730,Agilent Technologies Inc,Health Care,Health Care Equipment & Services
GAS,595,AGL Resources Inc.,Utilities,Gas Utilities
APD,460,Air Products & Chemicals Inc,Materials,Industrial Gases
ARG,510,Airgas Inc,Materials,Industrial Gases
AKAM,20680,Akamai Technologies Inc,Information Technology,Internet Software & Services
AA,2,Alcoa Inc,Materials,Aluminum
ALXN,14328,Alexion Pharmaceuticals,Health Care,Biotechnology
ATI,24840,Allegheny Technologies Inc,Materials,Diversified Metals & Mining
AGN,205,Allergan Inc,Health Care,Pharmaceuticals
ALL,24838,Allstate Corp,Financials,Property & Casualty Insurance
ALTR,328,Altera Corp,Information Technology,Semiconductors
MO,4954,Altria Group Inc,Consumer Staples,Tobacco
AMZN,,Amazon.com Inc,Consumer Discretionary,Internet Retail
AEE,,Ameren Corp,Utilities,Multi-Utilities & Unregulated Power
AEP,,American Electric Power,Utilities,Electric Utilities
AXP,,American Express Co,Financials,Consumer Finance
AIG,,American Intl Group Inc,Financials,Property & Casualty Insurance
AMT,,American Tower Corp A,Financials,REITs
AMP,,Ameriprise Financial,Financials,Diversified Financial Services
ABC,,AmerisourceBergen Corp,Health Care,Health Care Distribution & Services
AMGN,,Amgen Inc,Health Care,Biotechnology
APH,,Amphenol Corp A,Industrials,Electrical Components & Equipment
APC,,Anadarko Petroleum Corp,Energy,Oil & Gas Exploration & Production
ADI,,Analog Devices Inc,Information Technology,Semiconductors
AON,,Aon plc,Financials,Insurance Brokers
APA,,Apache Corporation,Energy,Oil & Gas Exploration & Production
AIV,,Apartment Investment & Mgmt,Financials,REITs
APOL,,Apollo Group Inc,Consumer Discretionary,Education
AAPL,,Apple Inc.,Information Technology,Computer Hardware
AMAT,,Applied Materials Inc,Information Technology,Semiconductor Equipment
ADM,,Archer-Daniels-Midland Co,Consumer Staples,Agricultural Products
AIZ,,Assurant Inc,Financials,Multi-line Insurance
T,,AT&T Inc,Telecommunications Services,Integrated Telecommunications Services
ADSK,,Autodesk Inc,Information Technology,Application Software
ADP,,Automatic Data Processing,Information Technology,Internet Software & Services
AN,,AutoNation Inc,Consumer Discretionary,Specialty Stores
AZO,,AutoZone Inc,Consumer Discretionary,Specialty Stores
AVB,,"AvalonBay Communities, Inc.",Financials,REITs
AVY,,Avery Dennison Corp,Industrials,Office Services & Supplies
AVP,,Avon Products,Consumer Staples,Personal Products
BHI,,Baker Hughes Inc,Energy,Oil & Gas Equipment & Services
BLL,,Ball Corp,Materials,Metal & Glass Containers
BAC,,Bank of America Corp,Financials,Banks
BK,,The Bank of New York Mellon Corp.,Financials,Banks
BCR,,Bard (C.R.) Inc.,Health Care,Health Care Equipment & Services
BAX,,Baxter International Inc.,Health Care,Health Care Equipment & Services
BBT,,BB&T Corporation,Financials,Banks
BEAM,,Beam Inc.,Consumer Staples,Distillers & Vintners
BDX,,Becton Dickinson,Health Care,Health Care Equipment & Services
BBBY,,Bed Bath & Beyond,Consumer Discretionary,Specialty Stores
BMS,,Bemis Company,Materials,Paper Packaging
BRK.B,,Berkshire Hathaway,Financials,Multi-Sector Holdings
BBY,,Best Buy Co. Inc.,Consumer Discretionary,Computer & Electronics Retail
BIIB,,BIOGEN IDEC Inc.,Health Care,Biotechnology
BLK,,BlackRock,Financials,Diversified Financial Services
HRB,,Block H&R,Financials,Consumer Finance
BMC,,BMC Software,Information Technology,IT Consulting & Services
BA,,Boeing Company,Industrials,Aerospace & Defense
BWA,,BorgWarner,Consumer Discretionary,Auto Parts & Equipment
BXP,,Boston Properties,Financials,REITs
BSX,,Boston Scientific,Health Care,Health Care Equipment & Services
BMY,,Bristol-Myers Squibb,Health Care,Health Care Distributors & Services
BRCM,,Broadcom Corporation,Information Technology,Semiconductors
BF.B,,Brown-Forman Corporation,Consumer Staples,Distillers & Vintners
CHRW,,C. H. Robinson Worldwide,Industrials,Air Freight & Logistics
CA,,"CA, Inc.",Information Technology,Systems Software
CVC,,Cablevision Systems Corp.,Consumer Discretionary,Broadcasting & Cable TV
COG,,Cabot Oil & Gas,Energy,Oil & Gas Exploration & Production
CAM,,Cameron International Corp.,Energy,Oil & Gas Equipment & Services
CPB,,Campbell Soup,Consumer Staples,Packaged Foods & Meats
COF,,Capital One Financial,Financials,Consumer Finance
CAH,,Cardinal Health Inc.,Health Care,Health Care Distributors & Services
CFN,,Carefusion,Health Care,Health Care Equipment & Services
KMX,,Carmax Inc,Consumer Discretionary,Specialty Stores
CCL,,Carnival Corp.,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
