Date,Open,High,Low,Close,Volume,Adj Close
03/01/2012,127.76,128.38,127.43,127.5,193697900,122.93
04/01/2012,127.2,127.81,126.71,127.7,127186500,123.12
05/01/2012,127.01,128.23,126.43,128.04,173895000,123.45
06/01/2012,128.2,128.22,127.29,127.71,148050000,123.13
09/01/2012,128,128.18,127.41,128.02,99530200,123.43
10/01/2012,129.39,129.65,128.95,129.13,115282000,124.5
11/01/2012,128.73,129.37,128.52,129.2,111540700,124.57
12/01/2012,129.57,129.7,128.54,129.51,118983700,124.87
13/01/2012,128.64,129.05,127.72,128.84,179836200,124.22
17/01/2012,130.08,130.32,128.9,129.34,132209200,124.7
18/01/2012,129.31,130.84,129.08,130.77,163395200,126.08
19/01/2012,131.22,131.57,130.8,131.46,126328900,126.75
20/01/2012,131.24,131.95,130.92,131.95,138230200,127.22
23/01/2012,131.51,132.25,130.98,131.61,129295800,126.89
24/01/2012,130.8,131.5,130.6,131.46,103083300,126.75
25/01/2012,131.26,132.87,130.75,132.56,198613200,127.81
26/01/2012,133.15,133.4,131.36,131.88,184880500,127.15
27/01/2012,131.24,132.05,131.15,131.82,135259100,127.09
30/01/2012,130.51,131.44,130.06,131.37,147311800,126.66
31/01/2012,132.02,132.18,130.68,131.32,157212000,126.61
01/02/2012,132.29,133.14,132.13,132.47,166234500,127.72
02/02/2012,132.73,133.02,132.21,132.68,113090400,127.92
03/02/2012,134,134.62,133.77,134.54,160598500,129.72
06/02/2012,133.98,134.51,133.83,134.45,107694500,129.63
07/02/2012,134.17,135.02,133.64,134.79,135528100,129.96
08/02/2012,134.86,135.22,134.31,135.19,139361400,130.34
09/02/2012,135.41,135.59,134.56,135.36,148602900,130.51
10/02/2012,134.16,134.47,133.84,134.36,167907500,129.54
13/02/2012,135.32,135.52,134.74,135.36,115841900,130.51
14/02/2012,135,135.27,134.25,135.19,165329500,130.34
15/02/2012,135.63,135.83,134.29,134.56,195195100,129.74
16/02/2012,134.57,136.17,134.33,136.05,186567800,131.17
17/02/2012,136.52,136.63,135.96,136.41,129869400,131.52
21/02/2012,136.73,137.05,136.05,136.47,134042300,131.58
22/02/2012,136.26,136.55,135.79,136.03,124455300,131.15
23/02/2012,135.96,136.73,135.5,136.63,137704300,131.73
24/02/2012,136.93,137.2,136.63,136.93,105539100,132.02
27/02/2012,136.02,137.53,135.8,137.16,145728900,132.24
28/02/2012,137.2,137.72,136.93,137.56,129355900,132.63
29/02/2012,137.76,138.19,136.54,137.02,185934700,132.11
01/03/2012,137.31,137.99,136.93,137.73,145023500,132.79
02/03/2012,137.64,137.82,137,137.31,120638300,132.39
05/03/2012,137.1,137.2,136.28,136.75,140765000,131.85
06/03/2012,135.35,135.43,134.36,134.75,202129900,129.92
07/03/2012,135.06,135.91,134.93,135.69,143692200,130.83
08/03/2012,136.52,137.32,136.24,137.04,116968900,132.13
09/03/2012,137.3,137.93,137.13,137.57,122836800,132.64
12/03/2012,137.55,137.76,137.09,137.58,104003500,132.65
13/03/2012,138.32,140.13,138.09,140.06,184090500,135.04
14/03/2012,140.1,140.45,139.48,139.91,145163600,134.89
15/03/2012,140.12,140.78,139.76,140.72,165118500,135.67
16/03/2012,140.36,140.48,140,140.3,152893500,135.86
19/03/2012,140.21,141.28,140.11,140.85,125291100,136.4
20/03/2012,140.05,140.61,139.64,140.44,121729700,136
21/03/2012,140.52,140.65,139.92,140.21,122388400,135.78
22/03/2012,139.18,139.55,138.74,139.2,135216700,134.8
23/03/2012,139.32,139.81,138.55,139.65,120521000,135.23
26/03/2012,140.65,141.61,140.6,141.61,120164000,137.13
27/03/2012,141.74,141.83,141.08,141.17,119868500,136.71
28/03/2012,141.1,141.32,139.64,140.47,148562100,136.03
29/03/2012,139.64,140.49,139.09,140.23,164963700,135.8
30/03/2012,140.92,141.05,140.05,140.81,135486800,136.36
02/04/2012,140.64,142.21,140.36,141.84,151741100,137.35
03/04/2012,141.64,141.88,140.43,141.26,155806700,136.79
04/04/2012,140.22,140.34,139.34,139.86,146896000,135.44
05/04/2012,139.38,140.2,139.26,139.79,137439400,135.37
09/04/2012,138.03,139.84,137.84,138.22,127555900,133.85
10/04/2012,137.95,138.34,135.76,135.9,235360300,131.6
11/04/2012,137.29,137.54,136.75,137,154133000,132.67
12/04/2012,137.13,138.9,137.03,138.79,154321500,134.4
13/04/2012,138.47,138.82,137.01,137.14,169246700,132.8
16/04/2012,137.84,138.04,136.58,137.05,147825300,132.72
17/04/2012,137.84,139.36,137.7,139.08,147877600,134.68
18/04/2012,138.46,139.08,138.38,138.61,123884200,134.23
19/04/2012,138.63,139.15,137.07,137.72,198666700,133.36
20/04/2012,138.33,138.83,137.87,137.95,143199600,133.59
23/04/2012,136.54,136.91,135.94,136.79,171844900,132.46
24/04/2012,136.91,137.66,136.8,137.31,137484200,132.97
25/04/2012,138.65,139.25,138.53,139.19,150252200,134.79
26/04/2012,138.89,140.32,138.81,140.16,136291600,135.73
27/04/2012,140.58,140.79,139.8,140.39,130725000,135.95
30/04/2012,140.11,140.21,139.49,139.87,115092200,135.45
01/05/2012,139.79,141.66,139.63,140.74,138832200,136.29
02/05/2012,139.92,140.46,139.46,140.32,121081000,135.88
03/05/2012,140.34,140.45,138.99,139.25,143759700,134.85
04/05/2012,138.52,139.3,136.92,137,193927300,132.67
07/05/2012,136.51,137.56,136.46,137.1,127765900,132.76
08/05/2012,136.28,136.77,134.92,136.55,213377700,132.23
09/05/2012,135.1,136.61,134.49,135.74,220752500,131.45
10/05/2012,136.68,136.85,135.71,136.02,150600000,131.72
11/05/2012,135.17,136.87,135.11,135.61,153032400,131.32
14/05/2012,134.31,135.61,133.91,134.11,163910000,129.87
15/05/2012,134.02,134.81,133.13,133.34,207629300,129.12
16/05/2012,133.94,134.55,132.8,132.83,207265500,128.63
17/05/2012,132.86,133.02,130.79,130.86,247992900,126.72
18/05/2012,131.37,131.6,129.55,129.74,319615900,125.64
21/05/2012,130.16,132.02,129.95,131.97,177861100,127.8
22/05/2012,132.31,133.23,131.34,132.2,197531200,128.02
23/05/2012,131.25,132.46,129.99,132.27,204958400,128.09
24/05/2012,132.63,132.84,131.42,132.53,167357600,128.34
25/05/2012,132.48,132.85,131.78,132.1,135465600,127.92
29/05/2012,133.16,133.93,131.17,133.7,152883500,129.47
30/05/2012,132.56,133.69,131.49,131.76,162370400,127.59
31/05/2012,131.71,132.45,130.34,131.47,196186000,127.31
01/06/2012,129.41,131.5,128.16,128.16,253240900,124.11
04/06/2012,128.39,128.74,127.14,128.1,202545800,124.05
05/06/2012,127.85,129.26,127.78,129.07,164149400,124.99
06/06/2012,129.97,132.03,129.93,131.97,184202800,127.8
07/06/2012,133.47,133.53,131.78,132.05,184772700,127.87
08/06/2012,131.71,133.13,131.29,133.1,143915400,128.89
11/06/2012,134.17,134.25,131.28,131.41,169756100,127.25
12/06/2012,131.79,133.01,131.16,132.92,181931800,128.72
13/06/2012,132.53,133.36,131.62,132.07,172008000,127.89
14/06/2012,132.34,134,131.98,133.47,230615500,129.25
