symbol,date,change,action
FDC,08/15/2001 15:00:01,15.06935961,new
GPS,08/15/2001 15:00:02,19.65377953,new
HON,08/15/2001 15:00:03,8.604315761,new
LIZ,08/15/2001 15:00:04,6.711568311,new
NKE,08/15/2001 15:00:05,22.68625707,new
ODP,08/15/2001 15:00:06,5.686902,new
OSI,08/15/2001 15:00:07,5.893339606,new
USB,08/15/2001 15:00:08,15.69447811,new
GPS,11/15/2001,142.5222312,increase
HON,11/15/2001,-100,decrease
LIZ,11/15/2001,-13.91977597,decrease
NEE,11/15/2001,100,new
ODP,11/15/2001,-100,decrease
USB,11/15/2001,-100,decrease
FDC,02/15/2002,-38.21656051,decrease
FE,02/15/2002,68.9539796,new
IRM,02/15/2002,27.67135835,new
LIZ,02/15/2002,-5.817625108,decrease
NEE,02/15/2002,46.78793461,increase
TT,02/15/2002,3.374662046,new
FDC,05/16/2002,-0.781443299,decrease
FE,05/16/2002,-100,decrease
IRM,05/16/2002,50,increase
LIZ,05/16/2002,-66.04693691,decrease
NEE,05/16/2002,-100,decrease
TT,05/16/2002,1902.478315,increase
FDC,08/15/2002,64.67238835,increase
GPS,08/15/2002,33.33333333,increase
IRM,08/15/2002,107.9161816,increase
LIZ,08/15/2002,-100,decrease
NKE,08/15/2002,-10.64757539,decrease
ADP,11/15/2002,31.54961139,new
FDC,11/15/2002,-100,decrease
IRM,11/15/2002,211.272863,increase
NKE,11/15/2002,36.18721202,increase
OMC,11/15/2002,64.01790735,new
PTR,11/15/2002,4.432481251,new
ADP,02/18/2003,12.34161176,increase
BBY,02/18/2003,3.514611134,new
CDCO,02/18/2003,30.37705733,new
FDC,02/18/2003,58.07602293,new
IRM,02/18/2003,19.91845545,increase
OMC,02/18/2003,-100,decrease
PNC,02/18/2003,8.032308602,new
PTR,02/18/2003,126.2773723,increase
ADP,05/16/2003,1193.706294,increase
BBY,05/16/2003,-100,decrease
CDCO,05/16/2003,1.103164162,increase
DST,05/16/2003,6.802572563,new
DUK,05/16/2003,87.52573254,new
FDC,05/16/2003,-23.98949664,decrease
IRM,05/16/2003,-0.65625,decrease
LVLT,05/16/2003,5.671694893,new
PNC,05/16/2003,-100,decrease
PTR,05/16/2003,231.2442396,increase
CDCO,08/15/2003,0.604668614,increase
DST,08/15/2003,-100,decrease
DUK,08/15/2003,-70.52701552,decrease
FDC,08/15/2003,-6.31660304,decrease
HCA,08/15/2003,100,new
IRM,08/15/2003,-36.85435672,decrease
LVLT,08/15/2003,2161.372582,increase
PTR,08/15/2003,-8.319421258,decrease
ADP,11/17/2003,-71.2467306,decrease
CDCO,11/17/2003,0.603877078,increase
HCA,11/17/2003,7.777108796,increase
LVLT,11/17/2003,-91.72479992,decrease
ADP,02/17/2004,-14.14796847,decrease
CDCO,02/17/2004,0.204457152,increase
DUK,02/17/2004,-100,decrease
GPS,02/17/2004,-25,decrease
HCA,02/17/2004,-13.54248717,decrease
LVLT,02/17/2004,-100,decrease
svm,02/17/2004,100,new
ADP,05/17/2004,-100,decrease
CDCO,05/17/2004,0.001074248,increase
OSI,05/17/2004,-2.607764391,decrease
svm,05/17/2004,12.49877077,increase
CDCO,08/16/2004,0.013293676,increase
CMCSK,08/16/2004,49.37940408,new
HCA,08/16/2004,-5.882466966,decrease
